hsa-mir-584
hsa-mir-585
hsa-mir-588
hsa-mir-589
hsa-mir-599
hsa-mir-618
hsa-mir-624
hsa-mir-625
hsa-mir-627
hsa-mir-628
hsa-mir-629
hsa-mir-641
hsa-mir-643
hsa-mir-653
hsa-mir-656
hsa-mir-660
hsa-mir-665
hsa-mir-7-2
hsa-mir-7-3
hsa-mir-708
hsa-mir-744
hsa-mir-758
hsa-mir-765
hsa-mir-767
hsa-mir-873
hsa-mir-874
hsa-mir-876
hsa-mir-885
hsa-mir-92b
hsa-mir-934
hsa-mir-942
hsa-mir-95
hsa-mir-99b
